number1,number2,number3,number4,number5,number6,bonus_no,day,date
6,11,19,21,39,49,28,Wednesday," December 29, 2010"
2,12,23,26,27,31,20,Saturday," December 25, 2010"
3,5,10,11,35,45,33,Wednesday," December 22, 2010"
5,7,13,33,37,39,44,Saturday," December 18, 2010"
1,5,8,11,29,33,36,Wednesday," December 15, 2010"
2,7,13,17,27,41,8,Saturday," December 11, 2010"
1,6,7,8,22,46,17,Wednesday," December 8, 2010"
9,12,16,24,25,38,31,Saturday," December 4, 2010"
2,11,12,29,40,42,35,Wednesday," December 1, 2010"
4,13,23,24,37,47,45,Saturday," November 27, 2010"
5,11,26,28,35,46,49,Wednesday," November 24, 2010"
1,10,13,23,41,43,39,Saturday," November 20, 2010"
3,12,14,16,29,38,23,Wednesday," November 17, 2010"
5,15,27,35,38,47,23,Saturday," November 13, 2010"
4,5,17,30,36,38,45,Wednesday," November 10, 2010"
2,20,29,33,40,44,25,Saturday," November 6, 2010"
10,11,16,19,28,40,8,Wednesday," November 3, 2010"
10,15,24,29,35,38,8,Saturday," October 30, 2010"
2,16,20,23,33,43,6,Wednesday," October 27, 2010"
2,13,21,22,40,44,37,Saturday," October 23, 2010"
9,10,14,15,19,29,35,Wednesday," October 20, 2010"
20,28,32,36,42,46,21,Saturday," October 16, 2010"
2,3,23,29,34,36,17,Wednesday," October 13, 2010"
1,8,15,36,38,49,16,Saturday," October 9, 2010"
10,20,24,32,37,47,49,Wednesday," October 6, 2010"
7,13,18,23,26,27,46,Saturday," October 2, 2010"
1,7,19,31,35,44,36,Wednesday," September 29, 2010"
7,11,15,30,31,45,23,Saturday," September 25, 2010"
13,19,29,30,33,49,5,Wednesday," September 22, 2010"
1,14,17,19,40,42,30,Saturday," September 18, 2010"
6,11,21,26,34,41,24,Wednesday," September 15, 2010"
3,9,11,13,27,45,5,Saturday," September 11, 2010"
4,6,11,45,46,47,48,Wednesday," September 8, 2010"
11,13,17,18,20,45,41,Saturday," September 4, 2010"
